Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
12,car,because
13,laisse,leash
14,ville,city
15,chaque,each
16,parlé,speak
17,arrivé,come
18,devrait,should
19,bébé,baby
20,longtemps,long time
21,vont,will
22,pendant,while
23,revoir,meet again
24,aucune,any
25,place,square
26,parle,speak
27,compris,understood
28,savais,knew
29,étaient,were
30,voici,here is
31,pourrais,could
32,donner,give
33,type,type
34,leurs,their
35,donné,given
36,train,train
37,corps,body
38,endroit,place
39,yeux,eyes
40,écoute,listen
41,dont,whose
43,premier,first
44,main,hand
45,première,first
46,côté,side
47,vieux,old
48,tiens,here
49,matin,morning
50,tellement,so much
51,enfant,child
52,point,point
53,venu,came
55,venez,come
56,devant,in front of
57,vers,towards
58,minutes,minutes
60,chambre,bedroom
61,mis,placed
62,belle,beautiful
63,droit,law
64,aimerais,would like to
65,aujourd'hui,today
66,cause,cause
67,enfin,finally
68,espère,hope
69,eau,water
70,attendez,Wait
71,parti,left
73,arrêter,Stop
74,terre,Earth
75,compte,account
76,donne,given
77,loin,far
78,fin,end
80,chérie,sweetheart
81,gros,large
82,plutôt,rather
83,aura,will have
84,filles,girls
85,jouer,to play
86,bureau,office
